Bank Name,City,ST,CERT,Acquiring Institution,Closing Date,Updated Date
The First National Bank of Barnesville,Barnesville,Georgia,2119,United Bank,22-Oct-10,17-Oct-15
The Gordon Bank,Gordon,Georgia,33904,Morris Bank,22-Oct-10,21-Mar-14
Puerto Ricoogress Bank of Florida,Tampa,Florida,32251,Bay Cities Bank,22-Oct-10,4-Feb-16
First Bank of Jacksonville,Jacksonville,Florida,27573,Ameris Bank,22-Oct-10,21-Mar-14
Puerto Ricoemier Bank,Jefferson City,Missouri,34016,Puerto Ricoovidence Bank,15-Oct-10,20-Aug-12
WestBridge Bank and Trust Company,Chesterfield,Missouri,58205,Midland States Bank,15-Oct-10,9-Feb-17
"Security Savings Bank, F.S.B.",Olathe,Kansas,30898,Simmons First National Bank,15-Oct-10,20-Aug-12
Shoreline Bank,Shoreline,Washington,35250,GBC International Bank,1-Oct-10,20-Aug-12
Wakulla Bank,Crawfordville,Florida,21777,Centennial Bank,1-Oct-10,21-Mar-14
North County Bank,Arlington,Washington,35053,Whidbey Island Bank,24-Sep-10,6-Oct-17
Haven Trust Bank Florida,Ponte Vedra Beach,Florida,58308,First Southern Bank,24-Sep-10,11-Jul-16
Maritime Savings Bank,West Allis,Wisconsin,28612,"North Shore Bank, FSB",17-Sep-10,20-Aug-12
Bramble Savings Bank,Milford,Ohio,27808,Foundation Bank,17-Sep-10,20-Aug-12
The Peoples Bank,Winder,Georgia,182,Community & Southern Bank,17-Sep-10,6-Oct-17
First Commerce Community Bank,Douglasville,Georgia,57448,Community & Southern Bank,17-Sep-10,6-Oct-17
Bank of Ellijay,Ellijay,Georgia,58197,Community & Southern Bank,17-Sep-10,6-Oct-17
ISN Bank,Cherry Hill,New Jersey,57107,Customers Bank,17-Sep-10,28-Jun-17
Horizon Bank,Bradenton,Florida,35061,Bank of the Ozarks,10-Sep-10,13-Feb-18
Sonoma Valley Bank,Sonoma,California,27259,Westamerica Bank,20-Aug-10,12-Sep-12
Los Padres Bank,Solvang,California,32165,Pacific Western Bank,20-Aug-10,12-Sep-12
Butte Community Bank,Chico,California,33219,"Rabobank, N.A.",20-Aug-10,12-Sep-12
Pacific State Bank,Stockton,California,27090,"Rabobank, N.A.",20-Aug-10,12-Sep-12
ShoreBank,Chicago,Illinois,15640,Urban Partnership Bank,20-Aug-10,16-May-13
Imperial Savings and Loan Association,Martinsville,Virginia,31623,"River Community Bank, N.A.",20-Aug-10,6-Oct-17
Independent National Bank,Ocala,Florida,27344,"CenterState Bank of Florida, N.A.",20-Aug-10,20-Oct-16
Community National Bank at Bartow,Bartow,Florida,25266,"CenterState Bank of Florida, N.A.",20-Aug-10,11-Jul-16
Palos Bank and Trust Company,Palos Heights,Illinois,17599,First Midwest Bank,13-Aug-10,22-Aug-12
Ravenswood Bank,Chicago,Illinois,34231,Northbrook Bank & Trust Company,6-Aug-10,22-Aug-12
LibertyBank,Eugene,Oregon,31964,Home Federal Bank,30-Jul-10,6-Oct-17
The Cowlitz Bank,Longview,Washington,22643,Heritage Bank,30-Jul-10,22-Aug-12
Coastal Community Bank,Panama City Beach,Florida,9619,Centennial Bank,30-Jul-10,9-Feb-17
Bayside Savings Bank,Port Saint Joe,Florida,57669,Centennial Bank,30-Jul-10,12-Dec-16
Northwest Bank & Trust,Acworth,Georgia,57658,State Bank and Trust Company,30-Jul-10,21-Sep-15
Home Valley Bank,Cave Junction,Oregon,23181,South Valley Bank & Trust,23-Jul-10,6-Oct-17
SouthwestUSA Bank,Las Vegas,Nevada,35434,Plaza Bank,23-Jul-10,22-Aug-12
Community Security Bank,New Puerto Ricoague,Minnesota,34486,Roundbank,23-Jul-10,4-Feb-16
Thunder Bank,Sylvan Grove,Kansas,10506,The Bennington State Bank,23-Jul-10,13-Sep-12
Williamsburg First National Bank,Kingstree,South Carolina,17837,"First Citizens Bank and Trust Company, Inc.",23-Jul-10,20-Oct-16
Crescent Bank and Trust Company,Jasper,Georgia,27559,Renasant Bank,23-Jul-10,21-Mar-14
Sterling Bank,Lantana,Florida,32536,IBERIABANK,23-Jul-10,22-Feb-18
"Mainstreet Savings Bank, FSB",Hastings,Michigan,28136,Commercial Bank,16-Jul-10,21-Feb-18
Olde CyPuerto Ricoess Community Bank,Clewiston,Florida,28864,"CenterState Bank of Florida, N.A.",16-Jul-10,11-Jul-16
Turnberry Bank,Aventura,Florida,32280,NAFH National Bank,16-Jul-10,12-Sep-16
Metro Bank of Dade County,Miami,Florida,25172,NAFH National Bank,16-Jul-10,8-Aug-16
First National Bank of the South,Spartanburg,South Carolina,35383,NAFH National Bank,16-Jul-10,21-Mar-14
Woodlands Bank,Bluffton,South Carolina,32571,Bank of the Ozarks,16-Jul-10,21-Sep-15
Home National Bank,Blackwell,Oklahoma,11636,RCB Bank,9-Jul-10,12-Dec-16
USA Bank,Port Chester,New York,58072,New Century Bank,9-Jul-10,6-Oct-17
Ideal Federal Savings Bank,Baltimore,Maryland,32456,No Acquirer,9-Jul-10,8-May-15
Bay National Bank,Baltimore,Maryland,35462,"Bay Bank, FSB",9-Jul-10,15-Jan-13
High Desert State Bank,Albuquerque,New Mexico,35279,First American Bank,25-Jun-10,14-Sep-12
First National Bank,Savannah,Georgia,34152,"The Savannah Bank, N.A.",25-Jun-10,21-Mar-14
Peninsula Bank,Englewood,Florida,26563,"Puerto Ricoemier American Bank, N.A.",25-Jun-10,21-Mar-14
Nevada Security Bank,Reno,Nevada,57110,Umpqua Bank,18-Jun-10,23-Aug-12
Washington First International Bank,Seattle,Washington,32955,East West Bank,11-Jun-10,22-Feb-18
TierOne Bank,Lincoln,Nebraska,29341,Great Western Bank,4-Jun-10,14-Sep-12
Arcola Homestead Savings Bank,Arcola,Illinois,31813,No Acquirer,4-Jun-10,8-May-15
First National Bank,Rosedale,Mississippi,15814,The Jefferson Bank,4-Jun-10,20-Feb-18
Sun West Bank,Las Vegas,Nevada,34785,City National Bank,28-May-10,14-Sep-12
"Granite Community Bank, NA",Granite Bay,California,57315,Tri Counties Bank,28-May-10,7-Sep-17
Bank of Florida - Tampa,Tampa,Florida,57814,EverBank,28-May-10,8-Aug-16
Bank of Florida - Southwest,Naples,Florida,35106,EverBank,28-May-10,8-Aug-16
Bank of Florida - Southeast,Fort Lauderdale,Florida,57360,EverBank,28-May-10,8-Aug-16
Pinehurst Bank,Saint Paul,Minnesota,57735,Coulee Bank,21-May-10,26-Oct-12
Midwest Bank and Trust Company,Elmwood Park,Illinois,18117,"FirstMerit Bank, N.A.",14-May-10,23-Aug-12
Southwest Community Bank,SPuerto Ricoingfield,Missouri,34255,Simmons First National Bank,14-May-10,4-Feb-16
New Liberty Bank,Plymouth,Michigan,35586,Bank of Ann Arbor,14-May-10,23-Aug-12
Satilla Community Bank,Saint Marys,Georgia,35114,Ameris Bank,14-May-10,21-Mar-14
1st Pacific Bank of California,San Diego,California,35517,City National Bank,7-May-10,13-Dec-12
Towne Bank of Arizona,Mesa,Arizona,57697,Commerce Bank of Arizona,7-May-10,23-Aug-12
Access Bank,Champlin,Minnesota,16476,Puerto RicoinsBank,7-May-10,5-Feb-15
The Bank of Bonifay,Bonifay,Florida,14246,First Federal Bank of Florida,7-May-10,5-Nov-12
Frontier Bank,Everett,Washington,22710,"Union Bank, N.A.",30-Apr-10,15-Jan-13
BC National Banks,Butler,Missouri,17792,Community First Bank,30-Apr-10,23-Aug-12
Champion Bank,Creve Coeur,Missouri,58362,BankLiberty,30-Apr-10,6-Jun-16
CF Bancorp,Port Huron,Michigan,30005,First Michigan Bank,30-Apr-10,13-Apr-16
Westernbank Puerto Rico,Mayaguez,Puerto Rico,31027,Banco Popular de Puerto Rico,30-Apr-10,21-Mar-14
R-G Puerto Ricoemier Bank of Puerto Rico,Hato Rey,Puerto Rico,32185,Scotiabank de Puerto Rico,30-Apr-10,5-Aug-15
Eurobank,San Juan,Puerto Rico,27150,Oriental Bank and Trust,30-Apr-10,21-Mar-14
Wheatland Bank,Naperville,Illinois,58429,Wheaton Bank & Trust,23-Apr-10,23-Aug-12
Peotone Bank and Trust Company,Peotone,Illinois,10888,First Midwest Bank,23-Apr-10,23-Aug-12
Lincoln Park Savings Bank,Chicago,Illinois,30600,Northbrook Bank & Trust Company,23-Apr-10,23-Aug-12
New Century Bank,Chicago,Illinois,34821,"MB Financial Bank, N.A.",23-Apr-10,23-Aug-12
Citizens Bank and Trust Company of Chicago,Chicago,Illinois,34658,Republic Bank of Chicago,23-Apr-10,5-Jun-14
Broadway Bank,Chicago,Illinois,22853,"MB Financial Bank, N.A.",23-Apr-10,23-Aug-12
"Amcore Bank, National Association",Rockford,Illinois,3735,Harris N.A.,23-Apr-10,23-Aug-12
